SMILES,Drugbank-ID,CAS Number,Name,Synonyms,Drug Type,Affected Organism,Dosage Form,Dosage Route,Dosage,Indication
N(C1=C([H])C([H])=C([H])C(C2=C3N=C(N(C4=C([H])C([H])=C([H])C(Cl)=C4[H])[H])C(=C([H])N3N=C2[H])[H])=C1[H])([H])[H],DB07698,,"3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine",,small molecule,,,,,
C(OC1=C([H])C([H])=C(C(C(C2=C3N=C(N([H])C3=C([H])C3=C2N=C(N([H])[H])N(C3=O)[H])[H])([H])[H])([H])[H])C([H])=C1[H])([H])([H])[H],DB07704,,"6-AMINO-4-[2-(4-METHOXYPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",,small molecule,,,,,
O(C1=C([H])C([H])=C(N2N=C3C(=C(C(O[H])=C([H])C3=C2Cl)[H])[H])C([H])=C1[H])[H],DB07708,,3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,,small molecule,,,,,
C(C(C1=C2C(=C(O[H])C(=C([H])C2=NN1C1=C([H])C([H])=C(O[H])C([H])=C1[H])[H])[H])([H])[H])([H])([H])[H],DB07712,,3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,,small molecule,,,,,
C(C1=C(C(C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C(=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])C1=O)([H])([H])[H],DB07714,,"6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID",,small molecule,,,,,
C(C1=C([H])C(O[H])=C2C(=O)C3=C(O[H])C([H])=C(O[H])C([H])=C3C(=O)C2=C1[H])([H])([H])[H],"DB07715
DB12653",518-82-1,Emodin,"1,3,8-trihydroxy-6-methyl-9,10-anthracenedione
1,3,8-trihydroxy-6-methyl-9,10-anthraquinone
Schuttgelb",small molecule,,,,,
O(C(=O)C(=O)C(C1=C([H])C([H])=C(O[H])C([H])=C1[H])([H])[H])[H],DB07718,,3-(4-HYDROXY-PHENYL)PYRUVIC ACID,,small molecule,,,,,
C(C(OP(=O)(OC(C([H])([H])[H])([H])[H])OC1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H])([H])[H])([H])([H])[H],DB07721,,DIETHYL 4-METHOXYPHENYL PHOSPHATE,,small molecule,,,,,
O(C(C(C(OC1=C([H])C([H])=C([N+]([O-])=O)C([H])=C1[H])([H])[H])([H])[H])([H])[H])[H],DB07722,,3-(4-NITRO-PHENOXY)-PROPAN-1-OL,,small molecule,,,,,
C(OC1=C([H])C2=C(N(C(=C2C(C(C(O[H])=O)([H])[H])([H])[H])[H])[H])C([H])=C1[H])([H])([H])[H],DB07723,,3-(5-methoxy-1H-indol-3-yl)propanoic acid,,small molecule,,,,,
C(OC1=C([H])C([H])=C(S(=O)(=O)N2C([H])=C(C(C(C(O[H])=O)([H])[H])([H])[H])C3=C2C(=C(C(OC([H])([H])[H])=C3[H])[H])[H])C([H])=C1[H])([H])([H])[H],DB07724,835619-41-5,Indeglitazar,,small molecule,,,,,
C(C(C([H])([H])[H])(C([H])([H])[H])C1=C(O[H])C([H])=C([H])C(O[H])=C1[H])([H])([H])[H],DB07726,,"2-tert-butylbenzene-1,4-diol",,small molecule,,,,,
FC1=C(C2=NC([H])=C([H])C(C3=C([H])C4=C(C(C(N(C4=O)[H])([H])[H])([H])[H])N3[H])=C2[H])C([H])=C([H])C([H])=C1[H],DB07728,,"2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",,small molecule,,,,,
FC1=C([H])C(C(=O)N(C2=C([H])C(C3=NN=NN3[H])=C([H])C([H])=C2[H])[H])=C([H])C([H])=C1[H],DB07729,,3-fluoro-N-[3-(1H-tetrazol-5-yl)phenyl]benzamide,,small molecule,,,,,
O(C1=C([H])C([H])=C([H])C(C2=C([H])C(=O)N([H])S2(=O)=O)=C1[H])[H],DB07730,,"5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE",,small molecule,,,,,
N(C1=C(N=NC2=C([H])C([H])=C(O[H])C([H])=C2[H])C(N([H])[H])=NN1[H])([H])[H],DB07731,,"4-[(E)-(3,5-DIAMINO-1H-PYRAZOL-4-YL)DIAZENYL]PHENOL",,small molecule,,,,,
O(P(O[H])(=O)OC(C(N(S(=O)(=O)C1=C([H])C2=C(C(=C(C([H])=C2C([H])=C1[H])[H])[H])[H])[H])([H])[H])([H])[H])[H],DB07732,,2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE,,small molecule,,,,,
C(N1N=C(C(F)(F)F)C2=C1SC(=C2[H])C(=O)N(C(C(S[H])([H])[H])([H])[H])[H])([H])([H])[H],DB07733,,"1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE",,small molecule,,,,,
S(C(C(C(C(=O)N(C1(C([H])([H])C([H])([H])N(C(C2=C([H])C([H])=C([H])C([H])=C2[H])([H])[H])C([H])([H])C1([H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H],DB07734,,N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide,,small molecule,,,,,
C(OC1=C([H])C([H])=C([H])C(OC([H])([H])[H])=C1C(N1C([H])([H])C([H])([H])C(N(C(=O)C(C(C(S[H])([H])[H])([H])[H])([H])[H])[H])([H])C([H])([H])C1([H])[H])([H])[H])([H])([H])[H],DB07735,,"N-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",,small molecule,,,,,
C(OC1=C(OC([H])([H])[H])C(C(N2C([H])([H])C([H])([H])C(N(C(=O)C(C(C(S[H])([H])[H])([H])[H])([H])[H])[H])([H])C([H])([H])C2([H])[H])([H])[H])=C([H])C(Br)=C1[H])([H])([H])[H],DB07738,,"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",,small molecule,,,,,
N(S(=O)(=O)C1=C([H])C([H])=C(C(=O)N(C(C2=C(F)C(F)=C([H])C([H])=C2[H])([H])[H])[H])C([H])=C1[H])([H])[H],DB07742,,"N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE",,small molecule,,,,,
FC(F)(F)C1=NN=C(SC(=O)C2=C([H])C([H])=C(C#CC3=C([H])C([H])=C([H])C([H])=C3[H])O2)N1[H],DB07743,,"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",,small molecule,,,,,
O(P(O[H])(=O)OC(C(N(C(=O)C1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])[H])([H])[H])([H])[H])[H],DB07745,,2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE,,small molecule,,,,,
C(C(C1=C(C([H])([H])[H])C(C(O[H])=O)=C(N(S(=O)(=O)C2=C([H])C([H])=C(F)C([H])=C2[H])[H])C([H])=C1[H])([H])[H])([H])([H])[H],DB07746,,3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID,,small molecule,,,,,
O(P(O[H])(=O)OC(C(N(S(=O)(=O)C1=C([H])C([H])=C(OC(F)(F)F)C([H])=C1[H])[H])([H])[H])([H])[H])[H],DB07748,,2-({[4-(TRIFLUOROMETHOXY)PHENYL]SULFONYL}AMINO)ETHYL DIHYDROGEN PHOSPHATE,,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C(C2=C([H])C(F)=C([H])C(F)=C2[H])C([H])=C1[H])[H],DB07753,,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",,small molecule,,,,,
C(C1=NC2=C(C(=C(C(F)=C2C(N([H])[H])=C1C(SC(C1=C([H])C(C(O[H])(O[H])C(F)(F)F)=C([H])C([H])=C1[H])([H])[H])([H])[H])[H])[H])[H])([H])([H])[H],DB07756,,"1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL",,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C(C2=C(Cl)C([H])=C([H])C(Cl)=C2[H])O1)[H],DB07758,,"5-(2,5-DICHLOROPHENYL)-2-FUROIC ACID",,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C(C2=C(C(F)(F)F)C([H])=C([H])C([H])=C2[H])O1)[H],DB07759,,5-[2-(TRIFLUOROMETHYL)PHENYL]-2-FUROIC ACID,,small molecule,,,,,
O(C(=O)C1=C([H])C([H])=C([H])C(C(=NOC(C(ON=C(C2=C([H])C(=O)N([H])C(=O)N2[H])[H])([H])[H])([H])[H])[H])=C1[H])[H],DB07760,,"3-[(1E,7E)-8-(2,6-dioxo-1,2,3,6-tetrahydropyrimidin-4-yl)-3,6-dioxa-2,7-diazaocta-1,7-dien-1-yl]benzoic acid",,small molecule,,,,,
C(C(C(C(C([H])([H])[H])([H])[H])(C(=O)N(C1=C(N(C(C([H])([H])[H])=O)[H])C([H])=C([H])C(C(O[H])=O)=C1[H])[H])[H])([H])[H])([H])([H])[H],DB07762,,4-(N-ACETYLAMINO)-3-[N-(2-ETHYLBUTANOYLAMINO)]BENZOIC ACID,,small molecule,,,,,
O(C(=O)C1=C(C2(C3=C(C(=C(O[H])C(=C3[H])[H])[H])OC3=C2C(=C(C(O[H])=C3[H])[H])[H])[H])C([H])=C([H])C([H])=C1[H])[H],DB07764,,FLUORESCIN,,small molecule,,,,,
C(OC(=O)C1(C([H])([H])C([H])([H])N(C(=O)C2=C([H])C([H])=C(N(C([H])([H])[H])C(C3=NC4=C(N([H])[H])N=C(N([H])[H])N=C4N=C3[H])([H])[H])C([H])=C2[H])C([H])([H])C1([H])[H])[H])([H])([H])[H],DB07765,,"METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL](METHYL)AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE",,small molecule,,,,,
C(OC1=C(O[H])C([H])=C([H])C(C(=C(C(O[H])=O)[H])[H])=C1[H])([H])([H])[H],DB07767,1135-24-6,Ferulic acid,,small molecule,,,,,
C(C1=C([H])C([H])=C(S(=O)(=O)N(C2=C(C(O[H])=O)SC(C3=C([H])C([H])=C(F)C([H])=C3[H])=C2[H])[H])C([H])=C1[H])([H])([H])[H],DB07770,,5-(4-FLUOROPHENYL)-3-{[(4-METHYLPHENYL)SULFONYL]AMINO}THIOPHENE-2-CARBOXYLIC ACID,,small molecule,,,,,
C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(C(C(C([H])([H])[H])=C(C(ON(C(=O)C(P(O[H])(O[H])=O)([H])[H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])([H])([H])[H],DB07771,,"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID",,small molecule,,,,,
O(P(O[H])(=O)OC(C(C(C1=C([H])N([H])C2=C1C(=C(F)C(=C2[H])[H])[H])([H])[H])([H])[H])([H])[H])[H],DB07773,,5-FLUOROINDOLE PROPANOL PHOSPHATE,,small molecule,,,,,
O(C1=C([H])C2=C(C(=O)C(O2)=C(C2=C(O[H])C(Br)=C(O[H])C(Br)=C2[H])[H])C(O[H])=C1[H])[H],DB07775,,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE",,small molecule,,,,,
O=C1C([H])=C(C2=C([H])C([H])=C([H])C([H])=C2[H])OC2=C1C(=C(C(=C2[H])[H])[H])[H],"DB07776
DB11139",525-82-6,Flavone,"2-Phenyl-4-benzopyron
2-Phenyl-4-chromone
2-phenyl-4H-1-benzopyran-4-one
2-phenyl-4H-benzopyran-4-one
2-phenyl-��-benzopyrone
2-Phenylbenzopyran-4-one
2-phenylchromone
Flavon",small molecule,,"Tablet, coated",Oral,,
C(C(OC1=C(F)C(C(C(N(C(=S)N(C2=NC([H])=C(C#N)C([H])=C2[H])[H])[H])([H])[H])([H])[H])=NC([H])=C1[H])([H])[H])([H])([H])[H],DB07781,,N-[[3-FLUORO-4-ETHOXY-PYRID-2-YL]ETHYL]-N'-[5-NITRILOMETHYL-PYRIDYL]-THIOUREA,,small molecule,,,,,
FC1=C2C(=O)N(C(=O)N(C(C(C(C(N3C([H])([H])C([H])([H])C(C4=C([H])C([H])=C([H])C([H])=C4[H])=C([H])C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])C2=C([H])C([H])=C1[H])[H],DB07787,,"5-FLUORO-1-[4-(4-PHENYL-3,6-DIHYDROPYRIDIN-1(2H)-YL)BUTYL]QUINAZOLINE-2,4(1H,3H)-DIONE",,small molecule,,,,,
C(C1=C([H])C(N(C(=O)N=C2N([H])C([H])=C(C(C(N(C3=NC([H])=NC(N(C4=NN([H])C([H])=N4)[H])=C3[H])[H])([H])[H])([H])[H])S2)[H])=C(C(F)(F)F)O1)([H])([H])[H],DB07789,,"1-[5-methyl-2-(trifluoromethyl)furan-3-yl]-3-[(2Z)-5-(2-{[6-(1H-1,2,4-triazol-3-ylamino)pyrimidin-4-yl]amino}ethyl)-1,3-thiazol-2(3H)-ylidene]urea",,small molecule,,,,,
C(OC(C(N(S(=O)(=O)C1=C([H])C([H])=C(N(C2=NC(C3=C([H])N=C(C([H])([H])[H])N3C(C([H])([H])[H])(C([H])([H])[H])[H])=C([H])C([H])=N2)[H])C([H])=C1[H])[H])([H])[H])([H])[H])([H])([H])[H],DB07790,,N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE,,small molecule,,,,,
C(N(S(=O)(=O)C1=C([H])C([H])=C(N(C2=NC(C3=C([H])N=C(C([H])([H])[H])N3C3(C([H])([H])C3([H])[H])[H])=C([H])C([H])=N2)[H])C([H])=C1[H])[H])([H])([H])[H],DB07791,,4-{[4-(1-CYCLOPROPYL-2-METHYL-1H-IMIDAZOL-5-YL)PYRIMIDIN-2-YL]AMINO}-N-METHYLBENZENESULFONAMIDE,,small molecule,,,,,
N(C1=NN([H])C2=C1C(=C(N=N2)C1=C2C(=C(C(=C([H])N2N=C1C1=C([H])C([H])=C([H])C([H])=C1[H])[H])[H])[H])[H])([H])[H],DB07794,,"5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE",,small molecule,,,,,
O(C1=C([H])C2=C(C(=O)C(O[H])=C(O2)C2=C([H])C(O[H])=C(O[H])C([H])=C2[H])C([H])=C1[H])[H],DB07795,,"3,7,3',4'-TETRAHYDROXYFLAVONE",,small molecule,,,,,
C(C(OC1=C(F)C(C(C(N(C(=S)N(C2=NC([H])=C(Cl)C([H])=C2[H])[H])[H])([H])[H])([H])[H])=NC([H])=C1[H])([H])[H])([H])([H])[H],DB07797,,N-[[3-FLUORO-4-ETHOXY-PYRID-2-YL]ETHYL]-N'-[5-CHLORO-PYRIDYL]-THIOUREA,,small molecule,,,,,
ClC1=C([H])N=C(N(S(=O)(=O)C2=C(N(C(=O)C3=C([H])C([H])=C(N4C([H])=C([H])C([H])=C([H])C4=O)C([H])=C3[H])[H])C([H])=C([H])C([H])=C2[H])[H])C([H])=C1[H],DB07800,,N-(2-(((5-CHLORO-2-PYRIDINYL)AMINO)SULFONYL)PHENYL)-4-(2-OXO-1(2H)-PYRIDINYL)BENZAMIDE,,small molecule,,,,,
C(C(C(C(N(C(=O)C1=C([H])C(N(C(=O)C(C(C(C(C(N(C2=NC([H])=NC3=C2N=C(N3[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])=C([H])C([H])=C1[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB07801,,N-butyl-3-{[6-(9H-purin-6-ylamino)hexanoyl]amino}benzamide,,small molecule,,,,,
C(C1=C(Br)C(=O)OC2=C1C(=C(C(O[H])=C2Br)[H])[H])([H])([H])[H],DB07802,,"3,8-DIBROMO-7-HYDROXY-4-METHYL-2H-CHROMEN-2-ONE",,small molecule,,,,,
O(C(=O)C1=C([H])N([H])C(C2=C([H])C([H])=C([H])C([H])=C2[H])=N1)[H],DB07803,,2-phenyl-1H-imidazole-4-carboxylic acid,,small molecule,,,,,
C(C(C([H])([H])[H])(C(Cl)([H])[H])C(=O)N(C1=C([H])C([H])=C(C(F)(F)F)C([H])=C1[H])[H])([H])([H])[H],DB07805,,"3-CHLORO-2,2-DIMETHYL-N-[4-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE",,small molecule,,,,,
C(C1=C([H])C([H])=C([H])C(C(=O)C2=C([H])C(N(C(C3=C([H])C([H])=C(C(N([H])[H])=N[H])C([H])=C3[H])([H])[H])[H])=NC([H])=C2[H])=C1[H])([H])([H])[H],DB07809,,4-({[4-(3-METHYLBENZOYL)PYRIDIN-2-YL]AMINO}METHYL)BENZENECARBOXIMIDAMIDE,,small molecule,,,,,
O(C1=C([H])C([H])=C(C(C(C(=O)C2=C(O[H])C([H])=C(O[H])C([H])=C2O[H])([H])[H])([H])[H])C([H])=C1[H])[H],DB07810,,"3-(4-HYDROXYPHENYL)-1-(2,4,6-TRIHYDROXYPHENYL)PROPAN-1-ONE",,small molecule,,,,,
C(C1=NN=C(C2=C([H])C(C([H])([H])[H])=C(C3=C(C([H])([H])[H])C([H])=C([H])C(C(=O)N(C4(C([H])([H])C4([H])[H])[H])[H])=C3[H])C([H])=C2[H])O1)([H])([H])[H],DB07811,,"N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",,small molecule,,,,,
O(C(=O)C(N=C(N(C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])[H])[H])N(C1=C([H])C([H])=C(C#N)C([H])=C1[H])[H])([H])[H])[H],DB07816,,N-(P-CYANOPHENYL)-N'-DIPHENYLMETHYL-GUANIDINE-ACETIC ACID,,small molecule,,,,,
O=C(N(C1=NC([H])=C([H])S1)[H])N(C1=C([H])C([H])=C([H])C(S(=O)(=O)N2C([H])([H])C([H])([H])N(C3=NC([H])=C([H])C([H])=C3[H])C([H])([H])C2([H])[H])=C1[H])[H],DB07817,,"1-{3-[(4-pyridin-2-ylpiperazin-1-yl)sulfonyl]phenyl}-3-(1,3-thiazol-2-yl)urea",,small molecule,,,,,
O(N(C(=O)C(=C(C1=C(Cl)C([H])=C(Cl)C([H])=C1[H])[H])[H])[H])[H],DB07818,,"(2E)-3-(2,4-DICHLOROPHENYL)-N-HYDROXYACRYLAMIDE",,small molecule,,,,,
O(N(C(=O)C(=C(C1=C([H])C([H])=C(Cl)C([H])=C1[H])[H])[H])[H])[H],DB07819,,(2E)-3-(4-CHLOROPHENYL)-N-HYDROXYACRYLAMIDE,,small molecule,,,,,
C(C(OC(N1C(=O)N([H])C(=O)C(C(C([H])([H])[H])(C([H])([H])[H])[H])=C1C(C1=C([H])C(C([H])([H])[H])=C([H])C(C([H])([H])[H])=C1[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB07820,,"6-(3',5'-DIMETHYLBENZYL)-1-ETHOXYMETHYL-5-ISOPROPYLURACIL",,small molecule,,,,,
C(C(C1=C(C([H])([H])[H])N([H])N(C2=NN=NN2[H])C1=O)([H])[H])([H])([H])[H],DB07824,,"4-ethyl-5-methyl-2-(1H-tetrazol-5-yl)-1,2-dihydro-3H-pyrazol-3-one",,small molecule,,,,,
ClC1=C([H])C(C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])=C(OC(C(=O)N(C2=C([H])C([H])=C([H])C([H])=C2[H])[H])([H])[H])C([H])=C1[H],DB07826,,2-[4-chloro-2-(phenylcarbonyl)phenoxy]-N-phenylacetamide,,small molecule,,,,,
C(N1C(=O)N(C(C2=C([H])C([H])=C(C(O[H])=O)C([H])=C2[H])([H])[H])C(=O)C2=C1C(=C(C(=C2[H])C#CC(C1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H])[H])[H])([H])([H])[H],DB07827,,"4-{[1-METHYL-2,4-DIOXO-6-(3-PHENYLPROP-1-YN-1-YL)-1,4-DIHYDROQUINAZOLIN-3(2H)-YL]METHYL}BENZOIC ACID",,small molecule,,,,,
FC1=C([H])C([H])=C(C2=NN([H])C([H])=C2C2=C([H])C([H])=NC([H])=C2[H])C([H])=C1[H],DB07829,,4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,,small molecule,,,,,
C(C(C(C1=C(C(F)(F)F)C([H])=C(N(C(=O)C2=C(N(C(C3=C([H])N([H])C(=O)C([H])=C3[H])([H])[H])[H])C([H])=C([H])C([H])=C2[H])[H])C([H])=C1[H])([H])[H])([H])[H])([H])([H])[H],DB07831,,"2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE",,small molecule,,,,,
C(C1=C(N(C2=C3C(=C(C(=C([H])C3=NC([H])=C2[H])C2=C([H])SC(C(=O)[H])=N2)[H])[H])[H])C([H])=C(O[H])C([H])=C1[H])([H])([H])[H],DB07832,,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",,small molecule,,,,,
C(C1=NN=C(C2=C([H])C(C3=C([H])C([H])=C(C(=O)N(C4=C([H])C(C#N)=C([H])C([H])=C4[H])[H])C([H])=C3[H])=C(C([H])([H])[H])C([H])=C2[H])O1)([H])([H])[H],DB07833,,"N-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide",,small molecule,,,,,
C(C1=NN=C(C2=C([H])C(C3=C([H])C([H])=C(C(=O)N(C(C4(C([H])([H])C4([H])[H])[H])([H])[H])[H])C([H])=C3[H])=C(C([H])([H])[H])C([H])=C2[H])O1)([H])([H])[H],DB07834,,"N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",,small molecule,,,,,
C(C1=C(C2=C([H])C([H])=C(C(=O)N(C(C3(C([H])([H])C3([H])[H])[H])([H])[H])[H])C([H])=C2[H])C([H])=C(C(=O)N(C2(C([H])([H])C2([H])[H])[H])[H])C([H])=C1[H])([H])([H])[H],DB07835,,"N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",,small molecule,,,,,
O(C(=O)C(C1=C([H])C([H])=C(C2=C([H])N([H])C3=C2C(=C(C(=N3)[H])C2=C([H])C3=C(C(=C(C([H])=C3C([H])=C2[H])[H])[H])[H])[H])C([H])=C1[H])([H])[H])[H],DB07837,,"[4-(5-naphthalen-2-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid",,small molecule,,,,,
O(C1=C(C(=C2SC(=S)N(C(C3=C([H])C([H])=C([H])C([H])=C3[H])([H])[H])C2=O)[H])C([H])=C([H])C([H])=C1[N+]([O-])=O)[H],DB07838,,(Z)-3-BENZYL-5-(2-HYDROXY-3-NITROBENZYLIDENE)-2-THIOXOTHIAZOLIDIN-4-ONE,,small molecule,,,,,
C(OC1=C([H])C([H])=C([H])C(C(O[H])=C2C([H])=NC3=NC(=C(C(C4=C([H])C(F)=C([H])C(F)=C4[H])=C23)[H])[H])=C1[H])([H])([H])[H],DB07840,,"(E)-[4-(3,5-difluorophenyl)-3H-pyrrolo[2,3-b]pyridin-3-ylidene](3-methoxyphenyl)methanol",,small molecule,,,,,
C(OC1=C(N(C2=NC(N(C3=C(C(N([H])[H])=O)C(F)=C([H])C([H])=C3[H])[H])=C3C(=C(N([H])C3=N2)[H])[H])[H])C([H])=C([H])C(C(S(C([H])([H])[H])(=O)=O)([H])[H])=C1[H])([H])([H])[H],DB07845,,"2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide",,small molecule,,,,,
C(C(C1=C(N=C(O[H])OC2=C([H])C3=C(N(C([H])([H])[H])C4(C3(C([H])([H])[H])C([H])([H])C([H])([H])[N+]4(C([H])([H])[H])[O-])[H])C([H])=C2[H])C([H])=C([H])C([H])=C1[H])([H])[H])([H])([H])[H],DB07846,,"1S,3AS,8AS-TRIMETHYL-1-OXIDO-1,2,3,3A,8,8A-HEXAHYDROPYRROLO[2,3-B]INDOL-5-YL 2-ETHYLPHENYLCARBAMATE",,small molecule,,,,,
C(C1=NC(C(O[H])=O)=NN1C1=C([H])C(Cl)=C([H])C(Cl)=C1[H])([H])([H])[H],DB07852,,"1-(3,5-DICHLOROPHENYL)-5-METHYL-1H-1,2,4-TRIAZOLE-3-CARBOXYLIC ACID",,small molecule,,,,,
C(N(C(C1=C([H])C([H])=C(C2=NC([H])=NC3=C2N=C(N3[H])[H])C([H])=C1[H])([H])[H])[H])([H])([H])[H],DB07854,,N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,,small molecule,,,,,
ClC1=C([H])C([H])=C(C2(C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C2=C([H])C([H])=C(C3=NC([H])=NC4=C3N=C(N4[H])[H])C([H])=C2[H])C([H])=C1[H],DB07856,,6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,,small molecule,,,,,
ClC1=C([H])C([H])=C(C2(C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C2=C([H])C([H])=C(C3=C([H])N([H])N=C3[H])C([H])=C2[H])C([H])=C1[H],DB07859,,4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,,small molecule,,,,,
C(C(C(C(C([H])([H])[H])([H])[H])(N1C([H])=C([H])C2=C3C(N([H])[H])=NC(N([H])[H])=NC3=C(C([H])=C12)[H])[H])([H])[H])([H])([H])[H],DB07862,,"7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE",,small molecule,,,,,
[O-][N+](=O)C1=C([H])C(C(=O)N(C2=C([H])C([H])=C([H])C([H])=C2[H])[H])=C(Cl)C([H])=C1[H],DB07863,,2-chloro-5-nitro-N-phenylbenzamide,,small molecule,,,,,
C(C(C([H])([H])[H])(C1=C(OC#CC2(C([H])([H])C2([H])[H])[H])C2=C(C(=C(C(F)=C2[H])[H])[H])N([H])C1=O)[H])([H])([H])[H],DB07864,,4-[(CYCLOPROPYLETHYNYL)OXY]-6-FLUORO-3-ISOPROPYLQUINOLIN-2(1H)-ONE,,small molecule,,,,,
O=C1C([H])([H])C([H])([H])C([H])([H])C(N(C2=NN=NN2[H])[H])=C1[H],DB07865,,3-(1H-tetrazol-5-ylamino)cyclohex-2-en-1-one,,small molecule,,,,,
